"Distribution","分销分成"
"Level %s","第%s级"
"Percentage of grand total to distribute","用于分成订单总金额比例"
"Surplus","留存收益"
"The first level is the retailer/customer's direct referer","第一级是销售者/消费者的直接推广人"
"Total Points to Distribute","用于分成的积分数目"
"Unit to Refer","推广单位"
