"Custom Carrier","自定义物流"
"Federal Express","联邦快递"
"Flat Rate","固定运费"
"Free Shipping","免运费"
"S.F. Express","顺丰速运"
"Tracking Number","快递单号"
"United Parcel Service","联合包裹"
"United States Postal Service","美国邮政"
