"%d record(s)","%d条记录"
"Cache","缓存"
"Count of Result","结果数量"
"Database","数据库"
"Key","键"
"Parameters","参数"
"Peak Memory","内存峰值"
"Settings","配置"
"Template Tip","模板提示"
